POINT_X,POINT_Y,HARV88,HARV95,HARV2010
483729.7151,5120095.158,0.1166,0.1824,0.7133
484229.7151,5120095.158,0.1383,0.2036,0.6421
484729.7151,5120095.158,0.1434,0.1955,0.6292
485229.7151,5120095.158,0.1859,0.1927,0.6268
485729.7151,5120095.158,0.2056,0.2058,0.6327
486229.7151,5120095.158,0.166,0.1672,0.6213
486729.7151,5120095.158,0.1515,0.1546,0.6145
487229.7151,5120095.158,0.1225,0.1343,0.6144
487729.7151,5120095.158,0.1263,0.2268,0.6559
488229.7151,5120095.158,0.1266,0.3059,0.6738
488729.7151,5120095.158,0.1145,0.347,0.7289
489229.7151,5120095.158,0.059,0.276,0.7945
489729.7151,5120095.158,0.0295,0.2268,0.813
490229.7151,5120095.158,0.0129,0.1428,0.8286
490729.7151,5120095.158,0.0072,0.0965,0.8134
491229.7151,5120095.158,0.0052,0.1002,0.7139
491729.7151,5120095.158,0.0089,0.1546,0.6877
492229.7151,5120095.158,0.0069,0.1787,0.6659
492729.7151,5120095.158,0.0032,0.2111,0.6701
493229.7151,5120095.158,0.0031,0.2124,0.6662
493729.7151,5120095.158,0,0.2468,0.6882
494229.7151,5120095.158,0,0.307,0.7391
494729.7151,5120095.158,0,0.3825,0.846
495229.7151,5120095.158,0,0.3968,0.9172
495729.7151,5120095.158,0,0.382,0.8772
496229.7151,5120095.158,9.00E-04,0.3568,0.8168
496729.7151,5120095.158,0.0029,0.3891,0.7733
497229.7151,5120095.158,3.00E-04,0.3279,0.7294
497729.7151,5120095.158,0,0.2296,0.6928
498229.7151,5120095.158,0,0.1291,0.6046
498729.7151,5120095.158,0,0.0292,0.5796
499229.7151,5120095.158,0,0.0421,0.6352
499729.7151,5120095.158,0,0.1131,0.6994
500229.7151,5120095.158,0.0115,0.1879,0.7494
500729.7151,5120095.158,0.1217,0.296,0.7724
501229.7151,5120095.158,0.2668,0.4117,0.7739
501729.7151,5120095.158,0.2629,0.3345,0.6933
502229.7151,5120095.158,0.197,0.2749,0.6579
502729.7151,5120095.158,0.1211,0.2689,0.6648
503229.7151,5120095.158,0.0922,0.2787,0.6878
503729.7151,5120095.158,0.1847,0.3894,0.7641
504229.7151,5120095.158,0.2657,0.4168,0.7387
504729.7151,5120095.158,0.3036,0.3937,0.6678
505229.7151,5120095.158,0.2602,0.2837,0.5526
505729.7151,5120095.158,0.1921,0.1999,0.509
506229.7151,5120095.158,0.1223,0.1303,0.4393
506729.7151,5120095.158,0.069,0.0718,0.3418
507229.7151,5120095.158,0.0782,0.0839,0.2897
507729.7151,5120095.158,0.0977,0.11,0.305
508229.7151,5120095.158,0.0968,0.1051,0.3178
508729.7151,5120095.158,0.1028,0.1085,0.2966
509229.7151,5120095.158,0.0541,0.0573,0.1881
509729.7151,5120095.158,0.0409,0.0441,0.1168
481729.7151,5119595.158,0.0097,0.0151,0.3438
482229.7151,5119595.158,0.0175,0.0222,0.4155
482729.7151,5119595.158,0.0315,0.0384,0.5351
483229.7151,5119595.158,0.0441,0.0618,0.5683
483729.7151,5119595.158,0.0649,0.1224,0.5888
484229.7151,5119595.158,0.091,0.1477,0.5111
484729.7151,5119595.158,0.1222,0.1431,0.531
485229.7151,5119595.158,0.1534,0.1647,0.5696
485729.7151,5119595.158,0.1815,0.1804,0.5322
486229.7151,5119595.158,0.1646,0.1669,0.5028
486729.7151,5119595.158,0.1276,0.1393,0.4945
487229.7151,5119595.158,0.1377,0.1786,0.5296
487729.7151,5119595.158,0.1354,0.1852,0.5001
488229.7151,5119595.158,0.1299,0.1747,0.5227
488729.7151,5119595.158,0.1151,0.1772,0.5311
489229.7151,5119595.158,0.0696,0.1881,0.5926
489729.7151,5119595.158,0.0322,0.1624,0.6425
490229.7151,5119595.158,0.0029,0.1912,0.7137
490729.7151,5119595.158,0.0017,0.2803,0.7795
491229.7151,5119595.158,6.00E-04,0.3356,0.7629
491729.7151,5119595.158,0.0026,0.3873,0.738
492229.7151,5119595.158,0.0031,0.3993,0.7349
492729.7151,5119595.158,0.0032,0.419,0.7494
493229.7151,5119595.158,0.0031,0.4251,0.7996
493729.7151,5119595.158,0,0.428,0.811
494229.7151,5119595.158,0,0.5029,0.8859
494729.7151,5119595.158,0,0.5165,0.9356
495229.7151,5119595.158,0,0.5125,0.9375
495729.7151,5119595.158,0,0.4566,0.8971
496229.7151,5119595.158,0.0029,0.4031,0.8073
496729.7151,5119595.158,0.0029,0.3224,0.7698
497229.7151,5119595.158,0.0029,0.2632,0.7362
497729.7151,5119595.158,0,0.1781,0.7363
498229.7151,5119595.158,0,0.0853,0.7026
498729.7151,5119595.158,0,0.0239,0.702
499229.7151,5119595.158,0,0.0521,0.7054
499729.7151,5119595.158,0.004,0.0833,0.7168
500229.7151,5119595.158,0.0402,0.1256,0.6707
500729.7151,5119595.158,0.1572,0.2471,0.6945
501229.7151,5119595.158,0.2983,0.3582,0.6905
501729.7151,5119595.158,0.3509,0.3856,0.6331
502229.7151,5119595.158,0.2894,0.3307,0.6404
502729.7151,5119595.158,0.2184,0.3069,0.6639
503229.7151,5119595.158,0.1514,0.2859,0.7301
503729.7151,5119595.158,0.215,0.3561,0.8282
504229.7151,5119595.158,0.2986,0.3827,0.8311
504729.7151,5119595.158,0.3555,0.3833,0.7411
505229.7151,5119595.158,0.3327,0.3344,0.7008
505729.7151,5119595.158,0.2305,0.237,0.6782
506229.7151,5119595.158,0.1089,0.1241,0.5123
506729.7151,5119595.158,0.0515,0.1011,0.4168
