POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
486229.7151,5104595.158,0.2428,0.671,0.7463,0.115425728,0.012137445,0.008167944
486729.7151,5104595.158,0.1977,0.8362,0.9046,0.146328381,0.005090333,0.003552172
487229.7151,5104595.158,0.0807,0.8151,0.8926,0.270770955,0.005687833,0.003783613
487729.7151,5104595.158,0.0558,0.771,0.8614,0.308662139,0.007172794,0.004458406
488229.7151,5104595.158,0.0402,0.6506,0.7805,0.335057875,0.013512285,0.006823178
488729.7151,5104595.158,0.02,0.4667,0.6522,0.372618564,0.035549045,0.013399043
489229.7151,5104595.158,0.0031,0.4059,0.6298,0.407258972,0.048946178,0.015074541
489729.7151,5104595.158,0,0.4083,0.5879,0.413954175,0.048332165,0.018791437
490229.7151,5104595.158,0,0.4086,0.5216,0.413954175,0.048255957,0.026632687
490729.7151,5104595.158,0,0.3679,0.5079,0.413954175,0.059775823,0.028622733
491229.7151,5104595.158,0,0.263,0.4589,0.413954175,0.103790587,0.037037884
491729.7151,5104595.158,0.0203,0.1867,0.4077,0.372031035,0.155044672,0.048484942
492229.7151,5104595.158,0.0701,0.1657,0.3721,0.28629687,0.173152599,0.058469736
492729.7151,5104595.158,0.0836,0.1457,0.2442,0.266671957,0.192360897,0.114578855
493229.7151,5104595.158,0.0427,0.049,0.0793,0.330680707,0.319902186,0.272772272
483729.7151,5104095.158,0.3772,0.3975,0.5364,0.056922078,0.051157304,0.024638032
484229.7151,5104095.158,0.5826,0.6006,0.6865,0.019322675,0.017577141,0.011187144
484729.7151,5104095.158,0.6439,0.6596,0.7386,0.013996976,0.012887518,0.008505553
485229.7151,5104095.158,0.6056,0.6623,0.7115,0.017120889,0.012705783,0.009808656
485729.7151,5104095.158,0.509,0.6857,0.728,0.028457601,0.011234319,0.008993259
486229.7151,5104095.158,0.3779,0.7088,0.779,0.056712876,0.009948953,0.006877225
486729.7151,5104095.158,0.2416,0.7484,0.8403,0.1161566,0.008078218,0.00498173
487229.7151,5104095.158,0.1718,0.7555,0.8588,0.16768501,0.007782093,0.004519798
487729.7151,5104095.158,0.0919,0.6819,0.7908,0.255280076,0.01146113,0.006463347
488229.7151,5104095.158,0.0509,0.5292,0.6416,0.316721006,0.025589018,0.014167339
488729.7151,5104095.158,0.0558,0.3985,0.5637,0.308662139,0.050888923,0.021342348
489229.7151,5104095.158,0.0318,0.3602,0.5534,0.350193997,0.06224656,0.02253053
489729.7151,5104095.158,0.0031,0.2908,0.4556,0.407258972,0.089670988,0.0376864
490229.7151,5104095.158,0.0049,0.2341,0.3687,0.403421241,0.120830565,0.059524815
490729.7151,5104095.158,0.0049,0.154,0.2834,0.403421241,0.184143488,0.09323016
491229.7151,5104095.158,3.00E-04,0.0616,0.2067,0.41330147,0.299387667,0.139562605
491729.7151,5104095.158,0.0532,0.059,0.2448,0.3129124,0.303510219,0.114217815
492229.7151,5104095.158,0.1051,0.1102,0.2536,0.2381568,0.231852937,0.109051394
