X,Y,Heavy,Heavy_NW,MPI,Light,Light_NW,Harvest,Harvest_NW,
488375.8867,5100745.25,0.679824561,0.667719701,9.330369029,0,0,0.679824561,0.667719701,0.488375887
488875.8867,5100745.25,0.671119026,0.648036687,9.279671924,0.001780944,0.00171969,0.672838717,0.649756377,0.488875887
489375.8867,5100745.25,0.721104773,0.688449412,9.095544026,0.002701891,0.002579536,0.723684309,0.691028948,0.489375887
489875.8867,5100745.25,0.805572755,0.747271683,8.623098749,0.000619195,0.000574383,0.806147138,0.747846065,0.489875887
490375.8867,5100745.25,0.795260664,0.721410146,8.730826021,0,0,0.795260664,0.721410146,0.490375887
490875.8867,5100745.25,0.82006079,0.773287475,8.82979276,0.001215805,0.00114646,0.821207251,0.774433935,0.490875887
491375.8867,5100745.25,0.84764631,0.765364733,8.856158274,0.001272265,0.001148765,0.848795076,0.766513498,0.491375887
491875.8867,5100745.25,0.859058096,0.716251075,8.894219844,0.001375043,0.00114646,0.860204556,0.717397535,0.491875887
492375.8867,5100745.25,0.8814202,0.732874749,8.671625241,0.001378835,0.00114646,0.88256666,0.73402121,0.492375887
492875.8867,5100745.25,0.729318332,0.632969558,9.420818208,0,0,0.729318332,0.632969558,0.492875887
493375.8867,5100745.25,0.441291585,0.387790198,9.586678765,0,0,0.441291585,0.387790198,0.493375887
493875.8867,5100745.25,0.136012862,0.121238177,9.640981083,0,0,0.136012862,0.121238177,0.493875887
494375.8867,5100745.25,0,0,9.65786646,0,0,0,0,0.494375887
481375.8867,5101245.25,0.696305197,0.663802978,9.019386892,0.074797236,0.071305842,0.767611039,0.73510882,0.481375887
481875.8867,5101245.25,0.716752499,0.677354709,8.927210172,0.100575583,0.095047237,0.811799737,0.772401947,0.481875887
482375.8867,5101245.25,0.668466847,0.638578389,8.99015702,0.104410441,0.099742046,0.768208893,0.738320436,0.482375887
482875.8867,5101245.25,0.585007496,0.558705613,9.272858805,0.094752624,0.090492554,0.675500051,0.649198167,0.482875887
483375.8867,5101245.25,0.493801653,0.478957916,9.48453811,0.109208973,0.105926138,0.599727791,0.584884054,0.483375887
483875.8867,5101245.25,0.517677494,0.516193752,9.491448349,0.143144582,0.142734308,0.660411801,0.65892806,0.483875887
484375.8867,5101245.25,0.516853933,0.513745704,9.391792764,0.214923653,0.213631157,0.73048509,0.727376861,0.484375887
484875.8867,5101245.25,0.544689495,0.537360435,8.985787415,0.223157284,0.220154595,0.76484409,0.75751503,0.484875887
485375.8867,5101245.25,0.649927007,0.638005159,8.765063092,0.169635036,0.166523359,0.816450366,0.804528518,0.485375887
485875.8867,5101245.25,0.713730182,0.68327606,8.902644203,0.095722405,0.09163803,0.805368212,0.774914089,0.485875887
486375.8867,5101245.25,0.838995569,0.813054681,8.878066732,0.018611521,0.018036072,0.857031641,0.831090753,0.486375887
486875.8867,5101245.25,0.892262774,0.875895672,8.769680412,0.005547445,0.005445686,0.89770846,0.881341359,0.486875887
487375.8867,5101245.25,0.850146628,0.830183276,9.117106207,0.012316716,0.012027491,0.862174119,0.842210767,0.487375887
487875.8867,5101245.25,0.779342723,0.760377899,9.285929336,0.010269953,0.01002004,0.789362763,0.770397939,0.487875887
488375.8867,5101245.25,0.738249119,0.720263686,9.395159616,0.011750881,0.011464603,0.749713722,0.731728289,0.488375887
488875.8867,5101245.25,0.711025489,0.686998855,9.357484745,0.018968583,0.018327606,0.729353095,0.70532646,0.488875887
489375.8867,5101245.25,0.743862762,0.720011451,9.134153175,0.018929311,0.018322359,0.762185122,0.73833381,0.489375887
489875.8867,5101245.25,0.724828204,0.695328174,9.174749985,0.018822826,0.01805675,0.742884954,0.713384924,0.489875887
490375.8867,5101245.25,0.674377224,0.651202749,9.359751066,0.007710558,0.00744559,0.681822814,0.658648339,0.490375887
490875.8867,5101245.25,0.685679612,0.647008302,9.348444642,0,0,0.685679612,0.647008302,0.490875887
491375.8867,5101245.25,0.697423398,0.574089997,9.299668525,0.001392758,0.00114646,0.698569859,0.575236457,0.491375887
491875.8867,5101245.25,0.81036306,0.65836197,8.907143947,0.00140994,0.001145475,0.811508535,0.659507446,0.491875887
492375.8867,5101245.25,0.869043417,0.704838248,8.805155486,0,0,0.869043417,0.704838248,0.492375887
492875.8867,5101245.25,0.695065673,0.561192319,9.420913444,0.003549876,0.002866151,0.697931823,0.564058469,0.492875887
493375.8867,5101245.25,0.423269809,0.362542955,9.578309144,0.004680709,0.004009164,0.427278973,0.366552119,0.493375887
493875.8867,5101245.25,0.146052632,0.127111366,9.638136595,0.000657895,0.000572574,0.146625205,0.127683939,0.493875887
494375.8867,5101245.25,0,0,9.65705409,0,0,0,0,0.494375887
494875.8867,5101245.25,0,0,9.664125026,0,0,0,0,0.494875887
495375.8867,5101245.25,0,0,9.663883712,0,0,0,0,0.495375887
480875.8867,5101745.25,0.662593145,0.638059701,9.254050098,0.059016393,0.056831228,0.719424373,0.69489093,0.480875887
481375.8867,5101745.25,0.672019031,0.647378975,8.958054491,0.112399643,0.10827843,0.780297461,0.755657405,0.481375887
481875.8867,5101745.25,0.658201374,0.631413012,9.134251665,0.117418584,0.112639725,0.770841099,0.744052737,0.481875887
482375.8867,5101745.25,0.555787589,0.534730195,9.3536673,0.130668258,0.125717566,0.681505156,0.660447761,0.482375887
482875.8867,5101745.25,0.528579847,0.513892867,9.3788804,0.126694166,0.123173876,0.651753722,0.637066743,0.482875887
483375.8867,5101745.25,0.576956148,0.576956148,9.363636003,0.091716824,0.091716824,0.668672972,0.668672972,0.483375887
483875.8867,5101745.25,0.618087558,0.615958668,9.3325223,0.112615207,0.112227325,0.730314883,0.728185993,0.483875887
484375.8867,5101745.25,0.618045546,0.614150673,9.292119781,0.132314788,0.131480951,0.749526497,0.745631624,0.484375887
484875.8867,5101745.25,0.624601102,0.617082259,8.903097526,0.143022918,0.141301232,0.765902335,0.758383491,0.484875887
485375.8867,5101745.25,0.65743528,0.626865672,8.785831108,0.109572547,0.104477612,0.761912892,0.731343284,0.485375887
485875.8867,5101745.25,0.741906475,0.708965912,8.933699754,0.051558753,0.04926955,0.791176025,0.758235463,0.485875887
486375.8867,5101745.25,0.861094587,0.829750645,8.921418598,0.006246282,0.006018917,0.867113503,0.835769561,0.486375887
486875.8867,5101745.25,0.873006497,0.848450057,8.896643851,0.014766686,0.01435132,0.887357818,0.862801378,0.486875887
487375.8867,5101745.25,0.827373974,0.808650816,8.986517361,0.012602579,0.012317388,0.839691362,0.820968204,0.487375887
487875.8867,5101745.25,0.762044653,0.743479507,9.287626346,0.013807286,0.013470909,0.775515562,0.756950416,0.487875887
488375.8867,5101745.25,0.698146514,0.681113662,9.35981532,0.028243601,0.027554535,0.725701049,0.708668197,0.488375887
488875.8867,5101745.25,0.723719277,0.700085935,9.326249382,0.025170269,0.024348324,0.748067602,0.72443426,0.488875887
489375.8867,5101745.25,0.693496646,0.681570651,9.195317435,0.034703995,0.034107194,0.72760384,0.715677845,0.489375887
489875.8867,5101745.25,0.580388693,0.565729047,9.494789448,0.029740872,0.028989667,0.60937836,0.594718714,0.489875887
490375.8867,5101745.25,0.506017024,0.493841306,9.545554301,0.019371881,0.018905758,0.524922781,0.512747064,0.490375887
490875.8867,5101745.25,0.46629902,0.436228146,9.547406321,0.004289216,0.004012611,0.470311631,0.440240757,0.490875887
491375.8867,5101745.25,0.461352657,0.383754305,9.516226394,0,0,0.461352657,0.383754305,0.491375887
492375.8867,5101745.25,0.7702407,0.60533104,8.930913827,0.00401167,0.003152766,0.773393466,0.608483806,0.492375887
492875.8867,5101745.25,0.632505176,0.526119403,9.458845425,0.00621118,0.005166475,0.637671651,0.531285878,0.492875887
493375.8867,5101745.25,0.402071563,0.366943569,9.596562917,0.005649718,0.005156116,0.407227679,0.372099685,0.493375887
493875.8867,5101745.25,0.112257661,0.102894812,9.646415504,0.005628518,0.005159071,0.117416732,0.108053884,0.493875887
494375.8867,5101745.25,0,0,9.659744633,0,0,0,0,0.494375887
494875.8867,5101745.25,0,0,9.664076847,0,0,0,0,0.494875887
495375.8867,5101745.25,0,0,9.664723768,0,0,0,0,0.495375887
495875.8867,5101745.25,0,0,9.663202428,0,0,0,0,0.495875887
480875.8867,5102245.25,0.527927928,0.504882252,9.353575422,0.112012012,0.107122343,0.635050271,0.612004595,0.480875887
481375.8867,5102245.25,0.626829997,0.601318429,9.017206492,0.121302659,0.116365721,0.743195718,0.71768415,0.481375887
481875.8867,5102245.25,0.553178847,0.533677271,9.32017323,0.131313131,0.126683864,0.679862711,0.660361135,0.481875887
482375.8867,5102245.25,0.488973831,0.477599081,9.48495023,0.124375184,0.121481907,0.610455738,0.599080988,0.482375887
482875.8867,5102245.25,0.519059903,0.519059903,9.508365659,0.09372313,0.09372313,0.612783032,0.612783032,0.482875887
483375.8867,5102245.25,0.491544855,0.491544855,9.498718155,0.094582975,0.094582975,0.58612783,0.58612783,0.483375887
483875.8867,5102245.25,0.63584147,0.63584147,9.287863168,0.093911545,0.093911545,0.729753016,0.729753016,0.483875887
484375.8867,5102245.25,0.750505342,0.744912582,8.934461168,0.059197228,0.058756091,0.809261433,0.803668673,0.484375887
484875.8867,5102245.25,0.752719788,0.733734594,8.751143819,0.062334607,0.060762396,0.813482184,0.794496991,0.484875887
485375.8867,5102245.25,0.749398315,0.715393452,8.771449171,0.036702768,0.035037335,0.78443565,0.750430787,0.485375887
485875.8867,5102245.25,0.798675895,0.760676412,8.823499275,0.01354198,0.012897678,0.811573574,0.77357409,0.485875887
486375.8867,5102245.25,0.815632458,0.783605618,8.913017277,0.009546539,0.009171682,0.824804141,0.7927773,0.486375887
486875.8867,5102245.25,0.815352697,0.790063182,8.833371439,0.02519265,0.024411258,0.839763955,0.81447444,0.486875887
487375.8867,5102245.25,0.784047267,0.760676412,9.008648508,0.039586411,0.03840642,0.822453688,0.799082832,0.487375887
487875.8867,5102245.25,0.730839975,0.683290341,9.213882652,0.045064378,0.042132416,0.772972392,0.725422757,0.487875887
488375.8867,5102245.25,0.671734409,0.621769098,9.297605193,0.039094012,0.0361861,0.707920509,0.657955198,0.488375887
488875.8867,5102245.25,0.681778553,0.672398968,9.202061944,0.056088346,0.05531671,0.737095262,0.727715678,0.488875887
489375.8867,5102245.25,0.652148832,0.648036687,9.391423632,0.076434958,0.075952995,0.728101827,0.723989682,0.489375887
